"ticker","date","open","high","low","close","volume"
"awm",2014-12-17,1.4,1.4,1.06,1.22,57395
"awm",2014-12-18,1.29,1.4,1.1,1.14,14108
"awm",2014-12-19,1.09,1.12,0.99,1.01,3943
"awm",2014-12-22,1.07,1.08,1,1.07,1904
"awm",2014-12-23,1.14,1.14,1.03,1.11,357
"awm",2014-12-29,1.01,1.09,1,1.09,931
"awm",2014-12-30,1,1.12,1,1.12,679
"awm",2015-01-02,1.13,1.2,1.12,1.13,7419
"awm",2015-01-05,1.16,1.18,1.14,1.15,537
"awm",2015-01-07,1.17,1.26,1.15,1.2,14004
"awm",2015-01-08,1.2,1.29,1.2,1.25,6651
"awm",2015-01-09,1.23,1.28,1.2,1.28,5492
"awm",2015-01-12,1.28,1.83,1.28,1.75,14487
"awm",2015-01-13,1.67,1.89,1.56,1.66,17900
"awm",2015-01-14,1.69,1.77,1.45,1.56,7419
"awm",2015-01-15,1.6,1.67,1.43,1.67,2935
"awm",2015-01-16,1.67,1.69,1.51,1.65,6293
"awm",2015-01-19,1.55,1.68,1.41,1.63,3021
"awm",2015-01-20,1.62,1.62,1.46,1.58,2018
"awm",2015-01-21,1.46,1.56,1.46,1.54,2249
"awm",2015-01-22,1.51,1.54,1.49,1.49,1116
"awm",2015-01-23,1.49,1.5,1.45,1.46,2238
"awm",2015-01-26,1.47,1.49,1.18,1.31,4559
"awm",2015-01-27,1.43,1.43,1.3,1.3,3583
"awm",2015-01-28,1.38,1.42,1.29,1.34,2359
"awm",2015-01-29,1.34,1.41,1.29,1.35,2257
"awm",2015-01-30,1.35,1.35,1.23,1.28,5341
"awm",2015-02-02,1.33,1.45,1.32,1.41,3102
"awm",2015-02-03,1.44,1.44,1.31,1.31,801
"awm",2015-02-04,1.3,1.41,1.3,1.4,2958
"awm",2015-02-05,1.4,1.42,1.35,1.42,1319
"awm",2015-02-06,1.42,1.49,1.4,1.48,7642
"awm",2015-02-09,1.46,1.48,1.43,1.47,1979
"awm",2015-02-10,1.47,1.48,1.44,1.46,1920
"awm",2015-02-11,1.46,1.46,1.32,1.4,5060
"awm",2015-02-12,1.35,1.38,1.28,1.35,3570
"awm",2015-02-13,1.28,1.34,1.26,1.34,2988
"awm",2015-02-16,1.32,1.33,1.32,1.33,308
"awm",2015-02-17,1.3,1.37,1.29,1.35,916
"awm",2015-02-18,1.34,1.37,1.28,1.35,1866
"awm",2015-02-19,1.34,1.34,1.29,1.34,250
"awm",2015-02-20,1.34,1.34,1.29,1.34,293
"awm",2015-02-23,1.35,1.35,1.31,1.34,473
"awm",2015-02-24,1.34,1.34,1.34,1.34,271
"awm",2015-02-25,1.34,1.4,1.34,1.4,1097
"awm",2015-02-26,1.38,1.38,1.35,1.37,132
"awm",2015-02-27,1.36,1.37,1.32,1.37,779
"awm",2015-03-02,1.32,1.4,1.31,1.39,1835
"awm",2015-03-03,1.38,1.42,1.38,1.41,3088
"awm",2015-03-04,1.42,1.63,1.41,1.59,5141
"awm",2015-03-05,1.57,1.6,1.54,1.58,928
"awm",2015-03-06,1.58,1.58,1.47,1.54,1155
"awm",2015-03-09,1.5,1.53,1.5,1.53,172
"awm",2015-03-10,1.5,1.52,1.45,1.52,1192
"awm",2015-03-11,1.45,1.5,1.45,1.5,387
"awm",2015-03-12,1.49,1.49,1.45,1.48,279
"awm",2015-03-13,1.48,1.48,1.43,1.44,654
"awm",2015-03-16,1.48,1.5,1.43,1.5,354
"awm",2015-03-17,1.49,1.5,1.45,1.45,3933
"awm",2015-03-18,1.46,1.46,1.43,1.45,611
"awm",2015-03-19,1.43,1.47,1.42,1.45,379
"awm",2015-03-20,1.42,1.5,1.42,1.49,1777
"awm",2015-03-23,1.49,1.5,1.48,1.5,1773
"awm",2015-03-24,1.5,1.65,1.5,1.63,6112
"awm",2015-03-25,1.6,1.77,1.56,1.72,3758
"awm",2015-03-26,1.7,1.75,1.7,1.74,1705
"awm",2015-03-27,1.72,1.75,1.71,1.72,1902
"awm",2015-03-30,1.74,1.75,1.68,1.75,2506
"awm",2015-03-31,1.74,2.08,1.74,2.05,9748
