<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCC,D,20041202,000000,8.1149,8.234,7.9108,7.9959,313958,0
CCC,D,20041203,000000,7.9959,7.9959,7.5876,7.8682,59328,0
CCC,D,20041206,000000,7.8343,7.8343,7.6302,7.7151,30382,0
CCC,D,20041207,000000,7.6302,7.6302,7.3493,7.5535,28034,0
CCC,D,20041208,000000,7.5535,7.5535,7.3068,7.5111,14405,0
CCC,D,20041209,000000,7.5535,7.5535,7.3918,7.5535,13697,0
CCC,D,20041210,000000,7.5535,7.5535,7.4686,7.5111,6049,0
CCC,D,20041213,000000,7.5876,7.5876,7.3068,7.3068,5596,0
CCC,D,20041214,000000,7.3918,7.4686,7.3493,7.4686,13468,0
CCC,D,20041215,000000,7.5111,7.5111,7.3493,7.3918,10509,0
CCC,D,20041216,000000,7.3068,7.6302,7.3068,7.6302,22283,0
CCC,D,20041217,000000,7.4686,7.7491,7.4686,7.6302,17392,0
CCC,D,20041220,000000,7.6302,7.6302,7.4686,7.5111,4407,0
CCC,D,20041221,000000,7.5535,7.5535,7.5111,7.5111,5901,0
CCC,D,20041222,000000,7.4686,7.4686,7.3493,7.4686,2578,0
CCC,D,20041223,000000,7.5535,7.5535,7.4346,7.5111,3321,0
CCC,D,20041224,000000,7.5111,7.5876,7.5111,7.5876,5059,0
CCC,D,20041227,000000,7.5535,7.6725,7.5535,7.6725,12008,0
CCC,D,20041228,000000,7.5111,7.6302,7.5111,7.6302,13872,0
CCC,D,20041229,000000,7.5876,7.6302,7.5876,7.6302,19397,0
CCC,D,20041230,000000,7.5535,7.6725,7.5535,7.6725,38008,0
CCC,D,20041231,000000,7.4686,7.6725,7.4686,7.6725,40971,0
CCC,D,20050103,000000,7.6302,7.6725,7.5876,7.6725,8145,0
CCC,D,20050104,000000,7.6725,7.6725,7.6302,7.6302,4845,0
CCC,D,20050105,000000,7.5876,7.5876,7.3493,7.3918,3579,0
CCC,D,20050106,000000,7.3918,7.4346,7.3918,7.3918,12006,0
CCC,D,20050107,000000,7.3918,7.5535,7.3918,7.3918,4235,0
CCC,D,20050110,000000,7.3918,7.3918,7.3493,7.3493,946,0
