id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
2015;Berlin-Mitte Value! Quiet courtyard/very central;2217;Ian;Mitte;Brunnenstr. SÃŒd;52,5345373224175;13,4025569268224;Entire home/apt;60;4;118;2018-10-28;3,76;4;141
2695;Prenzlauer Berg close to Mauerpark;2986;Michael;Pankow;Prenzlauer Berg Nordwest;52,5485127922166;13,4045528265875;Private room;17;2;6;2018-10-01;1,42;1;0
3176;Fabulous Flat in great Location;3718;Britta;Pankow;Prenzlauer Berg SÃŒdwest;52,5349961915867;13,4175786653333;Entire home/apt;90;62;143;2017-03-20;1,25;1;220
3309;BerlinSpot SchÃ¶neberg near KaDeWe;4108;Jana;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,49885493313;13,3490645334872;Private room;26;5;25;2018-08-16;0,39;1;297
7071;BrightRoom with sunny greenview!;17391;Bright;Pankow;Helmholtzplatz;52,5431572633131;13,4150911045157;Private room;42;2;197;2018-11-04;1,75;1;26
9991;Geourgeous flat - outstanding views;33852;Philipp;Pankow;Prenzlauer Berg SÃŒdwest;52,5330307680268;13,4160468239564;Entire home/apt;180;6;6;2018-07-23;0,15;1;137
14325;Apartment in Prenzlauer Berg;55531;Chris + Oliver;Pankow;Prenzlauer Berg Nordwest;52,5478464079922;13,4055622437225;Entire home/apt;70;90;23;2018-11-01;0,23;3;129
16401;APARTMENT TO RENT;59666;Melanie;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5105139960154;13,4578502381062;Private room;120;30;0;;;1;365
16644;In the Heart of Berlin - Kreuzberg;64696;Rene;Friedrichshain-Kreuzberg;nÃ¶rdliche Luisenstadt;52,5047922738592;13,4351018538861;Entire home/apt;90;60;48;2017-12-14;0,47;2;159
17409;Downtown Above The Roofs In Berlin;67590;Wolfram;Pankow;Prenzlauer Berg SÃŒdwest;52,5290709246738;13,4128433939849;Private room;45;3;279;2018-10-31;2,83;1;42
17904;Beautiful Kreuzberg studio/WiFi (reg. pend.);68997;Matthias;NeukÃ¶lln;ReuterstraÃe;52,4954763266239;13,4218212775367;Entire home/apt;49;5;223;2018-10-30;2,1;1;232
20858;Designer Loft in Berlin Mitte;71331;Marc;Pankow;Prenzlauer Berg SÃŒdwest;52,5369524319239;13,4076150326215;Entire home/apt;129;3;56;2018-10-20;0,75;1;166
21869;Studio in the Heart of Kreuzberg;64696;Rene;Friedrichshain-Kreuzberg;nÃ¶rdliche Luisenstadt;52,5027333340694;13,4346198578528;Entire home/apt;70;60;60;2016-06-05;0,61;2;129
22415;Stylishly furnished 3 room flat;86068;Kiki;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4948506198659;13,4285005981404;Entire home/apt;98;3;61;2018-10-01;0,59;2;257
22677;Prenzel garden with leafy terrace;87357;Ramfis;Mitte;Brunnenstr. SÃŒd;52,5343483632202;13,4055765171914;Entire home/apt;160;3;223;2018-11-05;2,27;1;228
23834;Apartment in the heart of Berlin;94918;Tanja;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4897144263237;13,379747575409;Entire home/apt;65;60;96;2018-06-30;0,94;1;275
24569;Sunny & Wheelchair accessible;99662;Dominik;Pankow;Prenzlauer Berg SÃŒdwest;52,5307908523084;13,4180844390199;Entire home/apt;90;3;18;2018-08-25;0,18;2;3
25653;Sunny & stylish 150 sqm apartment;99662;Dominik;Pankow;Prenzlauer Berg SÃŒd;52,5302587362824;13,4194669622638;Entire home/apt;90;4;5;2016-08-14;0,05;2;15
26543;Helmholtzplatz Bright&Spacious Apt.;112675;Terri;Pankow;Helmholtzplatz;52,5440623911969;13,4213765219883;Entire home/apt;197;3;163;2018-11-05;1,63;1;336
28156;Beautiful apartment in Prenzlauer Berg;55531;Chris + Oliver;Pankow;Prenzlauer Berg Nordwest;52,5467193681494;13,4051170213044;Entire home/apt;70;90;28;2017-04-29;0,29;3;191
28268;Cozy Berlin Friedrichshain for1/6 p;121580;Elena;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,513385231841;13,4699475077797;Entire home/apt;90;5;30;2017-08-02;0,33;1;55
28711;Silent Studio-apt in KreuzkÃ¶lln;84157;Emanuela;NeukÃ¶lln;ReuterstraÃe;52,4861061491348;13,4348169817069;Entire home/apt;60;2;1;2013-08-13;0,02;10;341
29279;Quiet 2 rooms next Helmholtzplatz;54283;Marine;Pankow;Helmholtzplatz;52,5417876499013;13,4238831588998;Entire home/apt;130;60;69;2018-07-31;0,7;3;221
30295;PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG;485838;Michele;Pankow;Helmholtzplatz;52,5459672601899;13,4223588723536;Entire home/apt;100;4;240;2018-10-31;2,42;4;296
31440;Nice Room in Prenzlauerberg,;135046;Thomas;Pankow;Helmholtzplatz;52,5430892935274;13,4224530939918;Private room;44;1;28;2018-10-28;4,94;1;361
33043;Central Bright Bellevue Free Parking WIFI 4G;143180;Claudio&Irina;Mitte;Moabit Ost;52,5214179758149;13,3570822983891;Entire home/apt;62;3;144;2018-11-04;1,44;1;343
35642;Cozy 2 Room Apartment in trendy Prenzlauer Berg;153252;Thorsten;Pankow;Prenzlauer Berg Nord;52,5493612550297;13,4182276696571;Entire home/apt;55;60;1;2010-09-16;0,01;1;89
36480;ChimaysaberlinB&B Single Bedroom;156897;Helen;Charlottenburg-Wilm.;Otto-Suhr-Allee;52,5196765837824;13,3020887641416;Private room;40;1;33;2018-10-19;1,63;2;297
37004;WONDERFUL ROOM for longer stays Berlin Central;159734;Bernd;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,4933892413189;13,3648131350446;Private room;25;5;21;2018-09-25;0,21;1;329
37052;QUIET n SUNNY FLAT in MITTE/PBERG;149093;Rob;Mitte;Brunnenstr. SÃŒd;52,5382203343465;13,4046252440401;Entire home/apt;52;2;307;2018-10-04;3,04;2;25
37836;Weekend in Berlin Party Center - II;272316;Desiree;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4984723731291;13,4401318978101;Private room;39;1;161;2018-10-30;1,59;2;120
38074;3 months min stay in the heart of Prenzlauer Berg!;163384;Alan & Kasia;Pankow;Prenzlauer Berg SÃŒd;52,5368011427639;13,4254663725287;Entire home/apt;80;84;102;2018-07-21;1,03;10;221
38296;nice apartment to rent in NeukÃ¶lln in September!;164310;Oliver;NeukÃ¶lln;Schillerpromenade;52,4858626082932;13,4236190809207;Entire home/apt;80;10;6;2012-07-27;0,06;1;310
40600;room-artist loft berlin kreuzberg ;174970;Judith;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4884422833108;13,4205998193232;Private room;50;3;50;2016-09-26;0,62;2;0
41217;Beautiful room in Prenzlauer Berg;179110;Bn;Pankow;Prenzlauer Berg SÃŒdwest;52,5364078673576;13,4123104489796;Private room;43;2;70;2017-10-08;0,7;1;0
