Ticker,Date,Open,High,Low,Close,Volume
ALE,2020-10-12,65,72.1,60,70,59867551
ALE,2020-10-13,72,80,71.08,80,18452974
ALE,2020-10-14,84,90.3,71.25,75.96,16731591
ALE,2020-10-15,76,80,71.52,79.22,6235974
ALE,2020-10-16,80,85.44,79.25,81.45,15480831
ALE,2020-10-19,81.45,83.62,79.8,83.4,3205087
ALE,2020-10-20,83.45,85.6,83.33,85,3048042
ALE,2020-10-21,85.99,85.99,82.12,84.17,2734889
ALE,2020-10-22,83.84,89,83.72,85.37,5133134
ALE,2020-10-23,86.37,89,85.43,89,30874654
ALE,2020-10-26,89,92.86,85.5,91.7,2752483
ALE,2020-10-27,91.6,98.78,90.4,94.64,3996495
ALE,2020-10-28,94.64,96.55,82.1,87.67,4158058
ALE,2020-10-29,88,90.37,84.63,85.94,1854893
ALE,2020-10-30,85,86.8,80,80.45,1850831
ALE,2020-11-02,81.2,85.44,81.18,84.17,2942285
ALE,2020-11-03,85.4,85.5,82.12,83.69,1908419
ALE,2020-11-04,83,87.2,82.5,86.59,2026196
ALE,2020-11-05,88.3,89.6,86.7,87.56,1296652
ALE,2020-11-06,88,93,87.87,92.13,2860026
