Ticker,Date,Open,High,Low,Close,Volume
CDR,1994-08-02,8.2789,8.2789,8.2789,8.2789,347109
CDR,1994-08-03,9.0931,9.0931,9.0931,9.0931,325196
CDR,1994-08-04,9.995,9.995,9.995,9.995,355499
CDR,1994-08-08,9.0931,9.0931,9.0931,9.0931,263619
CDR,1994-08-09,10.732,10.732,10.732,10.732,135441
CDR,1994-08-10,10.123,10.123,10.123,10.123,156263
CDR,1994-08-11,9.917,9.917,9.917,9.917,127846
CDR,1994-08-16,10.536,10.536,10.536,10.536,81439
CDR,1994-08-17,11.065,11.065,11.065,11.065,82459
CDR,1994-08-18,9.956,9.956,9.956,9.956,54547
CDR,1994-08-22,10.33,10.33,10.33,10.33,105020
CDR,1994-08-23,9.505,9.505,9.505,9.505,68436
CDR,1994-08-24,9.299,9.299,9.299,9.299,75990
CDR,1994-08-25,8.3575,8.3575,8.3575,8.3575,64062
CDR,1994-08-29,9.0538,9.0538,9.0538,9.0538,88751
CDR,1994-08-30,9.0146,9.0146,9.0146,9.0146,57584
CDR,1994-08-31,8.4849,8.4849,8.4849,8.4849,46757
CDR,1994-09-01,8.2789,8.2789,8.2789,8.2789,68146
CDR,1994-09-05,7.8669,7.8669,7.8669,7.8669,43109
CDR,1994-09-06,7.0724,7.0724,7.0724,7.0724,37739
CDR,1994-09-07,6.3759,6.3759,6.3759,6.3759,156803
CDR,1994-09-08,6.9841,6.9841,6.9841,6.9841,86789
CDR,1994-09-12,7.661,7.661,7.661,7.661,108685
CDR,1994-09-13,6.9056,6.9056,6.9056,6.9056,163573
CDR,1994-09-14,7.0233,7.0233,7.0233,7.0233,67828
CDR,1994-09-15,6.886,6.886,6.886,6.886,39334
CDR,1994-09-19,6.8664,6.8664,6.8664,6.8664,54914
CDR,1994-09-20,6.1895,6.1895,6.1895,6.1895,63258
CDR,1994-09-21,5.6304,5.6304,5.6304,5.6304,89661
CDR,1994-09-22,5.856,5.856,5.856,5.856,79343
CDR,1994-09-26,5.6991,5.6991,5.6991,5.6991,49891
CDR,1994-09-27,5.2872,5.2872,5.2872,5.2872,56520
CDR,1994-09-28,5.2872,5.2872,5.2872,5.2872,101838
CDR,1994-09-29,5.5912,5.5912,5.5912,5.5912,51087
CDR,1994-10-03,6.1503,6.1503,6.1503,6.1503,104549
CDR,1994-10-04,6.2092,6.2092,6.2092,6.2092,123799
CDR,1994-10-05,6.8272,6.8272,6.8272,6.8272,80134
CDR,1994-10-06,6.7193,6.7193,6.7193,6.7193,99861
CDR,1994-10-07,6.8468,6.8468,6.8468,6.8468,82013
CDR,1994-10-10,6.7193,6.7193,6.7193,6.7193,52166
CDR,1994-10-11,6.4152,6.4152,6.4152,6.4152,54413
CDR,1994-10-12,6.4152,6.4152,6.4152,6.4152,48188
CDR,1994-10-13,5.7776,5.7776,5.7776,5.7776,87821
CDR,1994-10-14,6.3269,6.3269,6.3269,6.3269,126534
CDR,1994-10-17,6.6212,6.6212,6.6212,6.6212,91002
CDR,1994-10-18,6.8272,6.8272,6.8272,6.8272,89757
CDR,1994-10-19,6.7193,6.7193,6.7193,6.7193,44166
CDR,1994-10-20,6.6016,6.6016,6.6016,6.6016,117705
CDR,1994-10-21,6.2681,6.2681,6.2681,6.2681,59848
CDR,1994-10-24,5.7972,5.7972,5.7972,5.7972,59138
CDR,1994-10-25,5.8756,5.8756,5.8756,5.8756,45691
CDR,1994-10-26,5.9051,5.9051,5.9051,5.9051,113586
CDR,1994-10-27,5.5912,5.5912,5.5912,5.5912,31924
CDR,1994-10-28,5.4735,5.4735,5.4735,5.4735,27974
CDR,1994-11-02,6.0228,6.0228,6.0228,6.0228,41354
CDR,1994-11-03,5.9639,5.9639,5.9639,5.9639,17056
CDR,1994-11-04,5.9443,5.9443,5.9443,5.9443,44719
CDR,1994-11-07,5.9051,5.9051,5.9051,5.9051,35038
CDR,1994-11-08,5.9051,5.9051,5.9051,5.9051,20199
CDR,1994-11-09,5.9247,5.9247,5.9247,5.9247,52356
CDR,1994-11-10,5.9247,5.9247,5.9247,5.9247,44859
CDR,1994-11-14,5.9051,5.9051,5.9051,5.9051,37173
CDR,1994-11-15,5.4735,5.4735,5.4735,5.4735,42035
CDR,1994-11-16,5.4735,5.4735,5.4735,5.4735,70840
CDR,1994-11-17,5.3656,5.3656,5.3656,5.3656,22701
CDR,1994-11-18,5.6795,5.6795,5.6795,5.6795,44968
CDR,1994-11-21,5.1008,5.1008,5.1008,5.1008,17876
CDR,1994-11-22,4.6103,4.6103,4.6103,4.6103,57196
CDR,1994-11-23,4.6691,4.6691,4.6691,4.6691,32207
CDR,1994-11-24,4.6495,4.6495,4.6495,4.6495,22124
CDR,1994-11-25,4.6691,4.6691,4.6691,4.6691,13764
CDR,1994-11-28,5.1008,5.1008,5.1008,5.1008,34924
CDR,1994-11-29,5.6108,5.6108,5.6108,5.6108,81446
CDR,1994-11-30,6.0817,6.0817,6.0817,6.0817,73446
CDR,1994-12-01,6.0424,6.0424,6.0424,6.0424,78543
CDR,1994-12-02,5.4245,5.4245,5.4245,5.4245,48839
CDR,1994-12-05,5.6991,5.6991,5.6991,5.6991,34977
CDR,1994-12-06,5.5716,5.5716,5.5716,5.5716,34518
CDR,1994-12-07,5.6991,5.6991,5.6991,5.6991,87938
CDR,1994-12-08,5.1204,5.1204,5.1204,5.1204,
CDR,1994-12-09,4.6691,4.6691,4.6691,4.6691,37452
