Ticker,Date,Open,High,Low,Close,Volume
KGH,1997-07-10,8.0476,8.0476,8.0476,8.0476,7190075
KGH,1997-07-11,8.219,8.219,8.219,8.219,4547878
KGH,1997-07-14,7.3994,7.3994,7.3994,7.3994,1162876
KGH,1997-07-15,6.6816,6.6816,6.6816,6.6816,2430180
KGH,1997-07-16,7.3298,7.3298,7.3298,7.3298,1666283
KGH,1997-07-17,7.4689,7.5336,7.4689,7.5336,2245946
KGH,1997-07-18,7.3623,7.3623,7.1261,7.1585,780890
KGH,1997-07-21,7.3623,7.3623,7.2975,7.3623,1068518
KGH,1997-07-22,7.3623,7.4689,7.3623,7.3994,692807
KGH,1997-07-23,7.4317,7.4317,7.228,7.2975,594085
KGH,1997-07-24,7.3623,7.3623,7.2975,7.2975,724049
KGH,1997-07-25,7.3298,7.3298,7.2604,7.2604,577889
KGH,1997-07-28,7.1956,7.1956,7.0892,7.0892,602391
KGH,1997-07-29,7.0243,7.1956,7.0243,7.1261,344772
KGH,1997-07-30,7.1261,7.3623,7.1261,7.2975,384292
KGH,1997-07-31,7.2604,7.2604,7.0892,7.1261,382121
KGH,1997-08-01,7.1261,7.2604,7.1261,7.1261,285185
KGH,1997-08-04,7.1956,7.2604,7.1956,7.228,404470
KGH,1997-08-05,7.2604,7.3623,7.2604,7.3623,598068
KGH,1997-08-06,7.3623,7.3623,7.2604,7.2975,437194
KGH,1997-08-07,7.3298,7.8113,7.3298,7.7744,547019
KGH,1997-08-08,7.6726,8.219,7.6726,8.0152,1082742
KGH,1997-08-11,7.8764,7.8764,7.6402,7.6726,778290
KGH,1997-08-12,7.6402,7.8764,7.6402,7.7744,643519
KGH,1997-08-13,7.8764,7.8764,7.8764,7.8764,862546
KGH,1997-08-14,7.6031,7.705,7.5708,7.6031,373983
KGH,1997-08-18,7.5012,7.5012,7.2975,7.3623,359568
KGH,1997-08-19,7.6031,7.8764,7.6031,7.7421,672661
KGH,1997-08-20,7.8113,7.8113,7.6726,7.705,659415
KGH,1997-08-21,7.5336,7.5336,7.4689,7.4689,228506
KGH,1997-08-22,7.4317,7.6031,7.4317,7.5708,218981
KGH,1997-08-25,7.4689,7.5708,7.3623,7.3623,205096
KGH,1997-08-26,7.3623,7.5012,7.3623,7.4317,239239
KGH,1997-08-27,7.4317,7.5012,7.4317,7.4689,224860
KGH,1997-08-28,7.6402,7.8113,7.6402,7.7744,895228
KGH,1997-08-29,7.705,7.705,7.6402,7.6726,957973
KGH,1997-09-01,7.5708,7.6402,7.5708,7.5708,254713
KGH,1997-09-02,7.705,7.7744,7.705,7.7421,592392
KGH,1997-09-03,7.8113,7.9828,7.8113,7.9457,1132652
KGH,1997-09-04,7.8113,7.8113,7.705,7.7421,590171
KGH,1997-09-05,7.705,7.8439,7.705,7.7744,508114
KGH,1997-09-08,7.7421,7.7421,7.6726,7.7421,201375
KGH,1997-09-09,7.6402,7.705,7.6402,7.6726,386991
KGH,1997-09-10,7.6402,7.7421,7.6402,7.6726,377145
KGH,1997-09-11,7.5708,7.6726,7.5708,7.6402,380729
KGH,1997-09-12,7.6402,7.705,7.6402,7.6726,343929
KGH,1997-09-15,7.6031,7.705,7.6031,7.6726,307207
KGH,1997-09-16,7.6031,7.6402,7.5336,7.5336,341277
KGH,1997-09-17,7.5012,7.5012,7.4317,7.4689,369050
KGH,1997-09-18,7.3994,7.5336,7.3623,7.5336,536764
KGH,1997-09-19,7.705,7.8439,7.705,7.8439,1366639
KGH,1997-09-22,7.8764,7.8764,7.7421,7.7744,859565
KGH,1997-09-23,7.7744,7.7744,7.6726,7.705,585278
KGH,1997-09-24,7.5708,7.6726,7.5708,7.6402,416336
KGH,1997-09-25,7.5012,7.5012,7.3994,7.4317,613814
KGH,1997-09-26,7.3994,7.4317,7.3623,7.3623,540259
KGH,1997-09-29,7.4317,7.5012,7.4317,7.4317,433645
KGH,1997-09-30,7.5708,7.5708,7.4317,7.4689,389995
KGH,1997-10-01,7.5336,7.5708,7.5012,7.5708,678461
KGH,1997-10-02,7.5012,7.5012,7.4317,7.4317,536927
KGH,1997-10-03,7.5336,7.6726,7.5336,7.6031,1416411
KGH,1997-10-06,7.5336,7.6726,7.5336,7.6031,1479721
KGH,1997-10-07,7.5336,7.7744,7.5336,7.7421,1446770
KGH,1997-10-08,7.7744,8.0846,7.7744,8.0476,2288118
KGH,1997-10-09,7.8764,7.9828,7.8439,7.8439,2236332
