Ticker,Date,Open,High,Low,Close,Volume
PEO,1998-06-30,28.892,28.892,28.892,28.892,1066650
PEO,1998-07-01,30.73,30.73,30.73,30.73,1240019
PEO,1998-07-02,32.047,32.047,32.047,32.047,1131707
PEO,1998-07-03,30.73,30.73,30.73,30.73,1617927
PEO,1998-07-06,30.73,30.73,30.73,30.73,751313
PEO,1998-07-07,29.944,30.73,29.944,30.21,548511
PEO,1998-07-08,29.944,29.944,28.892,28.892,1449897
PEO,1998-07-09,28.892,28.892,28.892,28.892,500552
PEO,1998-07-10,28.892,29.683,28.892,29.418,183922
PEO,1998-07-13,29.944,31.256,29.944,30.996,97541
PEO,1998-07-14,31.522,32.307,31.522,31.522,307955
PEO,1998-07-15,32.047,32.307,30.996,32.047,606737
PEO,1998-07-16,32.047,32.047,31.522,31.781,394596
PEO,1998-07-17,32.574,32.834,32.307,32.574,441254
PEO,1998-07-20,32.574,34.146,32.574,34.146,239663
PEO,1998-07-21,34.146,34.146,33.101,33.359,224834
PEO,1998-07-22,33.62,33.62,32.574,33.101,285188
PEO,1998-07-23,33.359,34.146,33.359,33.885,196056
PEO,1998-07-24,33.62,34.146,33.62,33.885,135937
PEO,1998-07-27,33.359,33.359,32.834,33.359,102300
PEO,1998-07-28,33.101,33.101,32.307,32.574,157476
PEO,1998-07-29,32.574,33.359,32.574,33.359,252720
PEO,1998-07-30,33.62,33.62,33.359,33.62,114988
PEO,1998-07-31,32.834,33.101,32.574,33.101,169103
PEO,1998-08-03,32.047,33.101,32.047,32.574,151310
PEO,1998-08-04,32.834,32.834,32.574,32.574,183258
PEO,1998-08-05,31.522,32.047,31.522,31.781,253297
PEO,1998-08-06,32.047,32.574,31.781,31.781,124024
PEO,1998-08-07,32.047,32.574,32.047,32.574,87030
PEO,1998-08-10,32.574,32.574,32.047,32.307,84448
PEO,1998-08-11,31.781,31.781,30.47,30.47,229075
PEO,1998-08-12,31.522,32.307,31.256,32.047,255493
PEO,1998-08-13,30.996,30.996,30.21,30.73,95168
PEO,1998-08-14,30.996,31.522,30.996,31.522,93707
PEO,1998-08-17,30.996,31.781,30.996,31.522,128699
PEO,1998-08-18,31.781,32.574,31.781,32.047,80900
PEO,1998-08-19,31.781,32.307,31.781,32.307,153836
PEO,1998-08-20,31.781,31.781,30.996,31.256,305915
PEO,1998-08-21,31.256,31.522,30.47,31.256,325309
PEO,1998-08-24,30.996,31.781,30.996,31.781,130934
PEO,1998-08-25,31.522,31.522,30.996,30.996,61366
PEO,1998-08-26,30.996,31.256,30.996,30.996,322449
PEO,1998-08-27,30.47,30.73,29.944,30.47,693836
PEO,1998-08-28,27.579,28.367,27.054,28.367,43210
PEO,1998-08-31,26.793,27.32,26.527,26.793,174374
PEO,1998-09-01,24.114,24.374,22.693,24.165,232487
PEO,1998-09-02,26.002,27.054,25.742,27.054,221897
PEO,1998-09-03,26.793,26.793,25.742,25.742,355111
PEO,1998-09-04,26.268,27.054,26.268,27.054,217803
PEO,1998-09-07,27.054,28.367,27.054,27.846,105629
PEO,1998-09-08,27.054,28.106,27.054,28.106,341688
PEO,1998-09-09,27.846,27.846,27.32,27.579,231746
PEO,1998-09-10,26.793,27.32,26.793,26.793,146413
PEO,1998-09-11,26.002,26.268,25.849,26.002,72673
PEO,1998-09-14,26.268,26.793,26.268,26.268,186444
PEO,1998-09-15,25.951,26.059,25.951,26.002,291843
PEO,1998-09-16,25.951,26.217,25.951,26.002,160162
PEO,1998-09-17,25.482,25.691,25.059,25.059,91456
PEO,1998-09-18,25.059,25.635,25.059,25.635,44857
PEO,1998-09-21,24.691,24.691,24.165,24.64,25773
PEO,1998-09-22,24.849,25.217,24.849,24.956,72096
PEO,1998-09-23,25.217,26.268,25.217,25.742,57443
PEO,1998-09-24,26.793,26.793,26.268,26.268,67625
PEO,1998-09-25,26.002,26.002,25.742,25.742,37158
PEO,1998-09-28,26.002,26.002,25.482,25.482,71343
PEO,1998-09-29,25.742,25.742,25.482,25.742,83699
PEO,1998-09-30,24.691,24.691,24.165,24.22,20070
PEO,1998-10-01,22.225,22.225,21.433,21.54,56715
PEO,1998-10-02,20.014,20.279,19.912,20.172,161674
PEO,1998-10-05,19.544,20.014,18.911,19.12,184757
PEO,1998-10-06,18.967,18.967,18.018,18.702,112764
PEO,1998-10-07,19.176,19.176,17.283,18.074,81386
PEO,1998-10-08,17.283,17.283,16.077,16.286,86864
PEO,1998-10-09,16.286,16.655,16.286,16.655,89820
PEO,1998-10-12,17.866,18.385,17.866,18.385,131019
PEO,1998-10-13,18.911,19.176,18.284,18.385,120735
PEO,1998-10-14,17.866,18.543,17.866,18.385,42677
PEO,1998-10-15,18.752,18.752,17.65,17.866,30393
PEO,1998-10-16,19.436,20.33,19.386,20.228,147016
PEO,1998-10-19,20.488,20.488,20.014,20.069,102343
PEO,1998-10-20,20.228,20.964,19.963,20.964,124081
PEO,1998-10-21,19.963,20.964,19.963,20.172,178981
PEO,1998-10-22,19.702,20.33,19.702,20.069,88389
PEO,1998-10-23,20.228,20.748,20.228,20.488,184272
PEO,1998-10-26,21.014,21.014,20.439,20.806,65168
PEO,1998-10-27,20.488,20.488,19.595,19.595,37853
PEO,1998-10-28,19.228,19.228,18.752,18.809,57148
PEO,1998-10-29,18.911,19.436,18.911,19.176,110892
PEO,1998-10-30,20.748,20.748,20.172,20.279,180157
PEO,1998-11-02,22.801,23.638,22.745,23.588,194984
PEO,1998-11-03,23.113,23.113,21.698,21.8,80591
PEO,1998-11-04,22.117,23.378,22.117,23.113,199556
PEO,1998-11-05,22.326,22.377,22.066,22.275,156808
PEO,1998-11-06,22.485,22.485,22.066,22.434,142288
PEO,1998-11-09,22.592,22.592,21.907,22.066,139394
PEO,1998-11-10,21.54,21.54,20.38,20.488,161175
PEO,1998-11-12,19.963,20.228,19.805,19.912,93495
PEO,1998-11-13,19.963,21.381,19.963,21.223,183719
PEO,1998-11-16,21.958,23.113,21.958,22.904,96386
PEO,1998-11-17,21.958,21.958,21.014,21.274,116038
PEO,1998-11-18,20.856,21.274,20.33,20.596,126711
PEO,1998-11-19,20.488,20.488,19.805,20.228,93711
PEO,1998-11-20,20.488,20.748,20.488,20.539,53053
PEO,1998-11-23,21.54,21.54,20.748,20.806,83450
PEO,1998-11-24,21.014,21.014,19.963,20.33,63543
PEO,1998-11-25,20.488,20.488,20.228,20.439,64125
PEO,1998-11-26,20.488,20.488,20.33,20.488,31735
PEO,1998-11-27,20.228,20.488,20.172,20.228,45053
PEO,1998-11-30,20.228,20.228,19.805,20.121,27891
PEO,1998-12-01,19.702,19.963,19.12,19.436,41074
