Ticker,Date,Open,High,Low,Close,Volume
PZU,2010-05-12,17.86,18.423,17.814,18.423,141188121
PZU,2010-05-13,18.32,18.519,18.117,18.27,35337676
PZU,2010-05-14,18.182,18.423,18.08,18.168,20655655
PZU,2010-05-17,17.706,18.064,17.666,17.963,18199406
PZU,2010-05-18,17.937,18.157,17.927,18.064,11224792
PZU,2010-05-19,17.923,18.004,17.701,17.701,18071960
PZU,2010-05-20,17.605,17.656,16.914,16.939,20271390
PZU,2010-05-21,16.939,17.22,16.684,17.22,10417178
PZU,2010-05-24,17.226,17.63,17.22,17.527,9171435
PZU,2010-05-25,17.149,17.394,16.785,16.887,9925837
PZU,2010-05-26,17.109,18.117,17.109,18.117,49703309
PZU,2010-05-27,17.809,18.034,17.757,17.923,4665830
PZU,2010-05-28,17.932,17.983,17.706,17.912,3237436
PZU,2010-05-31,17.706,17.912,17.554,17.912,1459937
PZU,2010-06-01,17.676,17.9,17.425,17.84,4916462
PZU,2010-06-02,17.753,17.963,17.712,17.886,4446204
PZU,2010-06-04,17.84,17.963,17.502,17.502,4347641
PZU,2010-06-07,17.195,17.527,17.195,17.399,3536562
PZU,2010-06-08,17.409,17.605,17.349,17.349,23800128
PZU,2010-06-09,17.384,17.805,17.298,17.757,4322467
PZU,2010-06-10,17.619,17.978,17.619,17.912,6362155
PZU,2010-06-11,17.881,17.937,17.779,17.86,7745136
PZU,2010-06-14,17.86,18.09,17.757,17.998,3228703
PZU,2010-06-15,17.912,18.06,17.825,18.038,5227121
PZU,2010-06-16,18.048,18.09,17.717,18.034,6455424
PZU,2010-06-17,17.886,18.116,17.86,18.095,5833736
PZU,2010-06-18,18.045,18.361,18.045,18.295,21757420
PZU,2010-06-21,18.27,18.669,18.27,18.669,6747048
PZU,2010-06-22,18.449,18.592,18.346,18.423,3465948
PZU,2010-06-23,18.371,18.526,18.331,18.371,4040804
PZU,2010-06-24,18.371,18.475,18.168,18.168,3278235
PZU,2010-06-25,18.219,18.392,18.172,18.172,4225937
PZU,2010-06-28,18.198,18.254,17.937,18.013,1361617
PZU,2010-06-29,18.013,18.055,17.86,17.912,4533552
PZU,2010-06-30,17.912,18.116,17.886,17.912,2009439
PZU,2010-07-01,17.912,18.305,17.819,18.219,4463247
PZU,2010-07-02,18.055,18.423,18.055,18.117,3355380
PZU,2010-07-05,18.127,18.178,18.013,18.019,470911
PZU,2010-07-06,18.055,18.351,18.045,18.351,916187
PZU,2010-07-07,18.121,18.371,18.09,18.32,4052273
PZU,2010-07-08,18.423,18.669,18.219,18.368,8253304
PZU,2010-07-09,18.377,18.495,18.239,18.475,829337
PZU,2010-07-12,18.423,19.037,18.341,19.037,4971018
PZU,2010-07-13,18.95,19.343,18.95,19.343,5129838
PZU,2010-07-14,19.343,19.436,18.935,18.935,2262794
PZU,2010-07-15,18.935,19.14,18.883,18.935,776775
PZU,2010-07-16,18.833,19.216,18.833,18.833,1155376
PZU,2010-07-19,18.812,19.196,18.781,19.125,5139465
PZU,2010-07-20,19.089,19.125,18.883,18.94,2091060
PZU,2010-07-21,18.986,19.284,18.986,19.165,3675412
PZU,2010-07-22,19.14,19.549,19.094,19.549,4855298
PZU,2010-07-23,19.447,19.574,19.272,19.293,2724576
PZU,2010-07-26,19.601,19.938,19.405,19.866,3777809
PZU,2010-07-27,19.908,20.029,19.299,19.657,6934609
PZU,2010-07-28,19.805,19.805,19.396,19.402,1847308
PZU,2010-07-29,19.447,19.958,19.447,19.958,5367646
PZU,2010-07-30,19.958,20.193,19.83,20.162,7929260
PZU,2010-08-02,20.173,20.48,20.128,20.316,4156014
PZU,2010-08-03,20.316,20.531,20.291,20.418,2959610
PZU,2010-08-04,20.404,20.404,20.214,20.266,1198666
PZU,2010-08-05,20.214,20.414,20.112,20.343,4775746
PZU,2010-08-06,20.363,20.368,20.162,20.214,1190126
PZU,2010-08-09,20.137,20.214,19.463,19.549,2726507
PZU,2010-08-10,19.651,19.651,19.422,19.523,3426455
PZU,2010-08-11,19.523,19.574,19.241,19.293,2155307
PZU,2010-08-12,19.284,19.753,19.284,19.601,2562061
PZU,2010-08-13,19.917,20.112,19.718,19.851,1728455
PZU,2010-08-16,19.908,20.112,19.764,19.964,1152153
PZU,2010-08-17,19.958,19.958,19.554,19.702,1212258
PZU,2010-08-18,19.841,19.841,19.534,19.774,1712754
PZU,2010-08-19,19.764,19.958,19.651,19.699,2258332
PZU,2010-08-20,19.713,19.994,19.651,19.948,2505958
PZU,2010-08-23,20.163,20.669,20.122,20.558,2352061
PZU,2010-08-24,20.496,20.512,19.954,20.306,1806395
PZU,2010-08-25,20.196,20.401,19.89,19.98,1333170
PZU,2010-08-26,19.731,20.143,19.405,19.532,2791917
PZU,2010-08-27,19.427,19.67,19.427,19.67,2122193
PZU,2010-08-30,19.796,19.98,19.753,19.753,2141678
PZU,2010-08-31,19.584,19.879,19.48,19.879,3495816
PZU,2010-09-01,19.996,20.006,19.742,19.742,2262794
PZU,2010-09-02,19.895,19.974,19.721,19.721,1633793
PZU,2010-09-03,19.774,20.102,19.742,20.102,1276902
PZU,2010-09-06,20.132,20.348,20.132,20.348,1837744
PZU,2010-09-07,20.163,20.259,20.012,20.163,1021563
PZU,2010-09-08,20.185,20.827,20.163,20.795,5103141
PZU,2010-09-09,20.585,21.049,20.538,21.023,4080707
PZU,2010-09-10,20.802,21.054,20.764,20.848,3073334
PZU,2010-09-13,21.049,21.059,20.827,20.906,3711198
PZU,2010-09-14,20.902,21.113,20.748,21.091,3856440
PZU,2010-09-15,21.065,21.164,20.891,21.164,2347727
PZU,2010-09-16,20.985,21.154,20.954,20.954,1543924
PZU,2010-09-17,21.023,21.19,20.743,21.19,5064490
PZU,2010-09-20,20.954,21.422,20.954,21.368,1839457
PZU,2010-09-21,21.368,21.98,21.277,21.638,4771899
PZU,2010-09-22,21.532,21.765,21.486,21.638,2103643
PZU,2010-09-23,21.596,21.644,21.075,21.113,3851236
PZU,2010-09-24,21.113,21.154,20.764,20.795,6865337
PZU,2010-09-27,21.006,21.101,20.928,20.954,1325908
PZU,2010-09-28,20.954,21.054,20.758,21.011,1599156
