Ticker,Date,Open,High,Low,Close,Volume
SPL,1993-06-22,5.3408,5.3408,5.3408,5.3408,1150811
SPL,1993-06-24,4.8771,4.8771,4.8771,4.8771,1020117
SPL,1993-06-28,4.8771,4.8771,4.8771,4.8771,485014
SPL,1993-06-29,5.1612,5.1612,5.1612,5.1612,392996
SPL,1993-07-01,5.3408,5.3408,5.3408,5.3408,636014
SPL,1993-07-05,5.5877,5.5877,5.5877,5.5877,412244
SPL,1993-07-06,5.6176,5.6176,5.6176,5.6176,288042
SPL,1993-07-08,5.0565,5.0565,5.0565,5.0565,312686
SPL,1993-07-12,5.1612,5.1612,5.1612,5.1612,147296
SPL,1993-07-13,5.1238,5.1238,5.1238,5.1238,188099
SPL,1993-07-15,5.0565,5.0565,5.0565,5.0565,340751
SPL,1993-07-19,5.0565,5.0565,5.0565,5.0565,290637
SPL,1993-07-20,4.9817,4.9817,4.9817,4.9817,355875
SPL,1993-07-22,5.0939,5.0939,5.0939,5.0939,411515
SPL,1993-07-26,5.0939,5.0939,5.0939,5.0939,267050
SPL,1993-07-27,5.019,5.019,5.019,5.019,203955
SPL,1993-07-29,5.0939,5.0939,5.0939,5.0939,268328
SPL,1993-08-02,5.1612,5.1612,5.1612,5.1612,216578
SPL,1993-08-03,5.1612,5.1612,5.1612,5.1612,230609
SPL,1993-08-05,5.1238,5.1238,5.1238,5.1238,239453
SPL,1993-08-09,5.6176,5.6176,5.6176,5.6176,624154
SPL,1993-08-10,6.186,6.186,6.186,6.186,
SPL,1993-08-12,6.8219,6.8219,6.8219,6.8219,
SPL,1993-08-16,7.4577,7.4577,7.4577,7.4577,762992
SPL,1993-08-17,8.2062,8.2062,8.2062,8.2062,961716
SPL,1993-08-19,8.9834,8.9834,8.9834,8.9834,651503
SPL,1993-08-23,9.791,9.791,9.791,9.791,
SPL,1993-08-24,10.712,10.712,10.712,10.712,279574
SPL,1993-08-26,11.812,11.812,11.812,11.812,580121
SPL,1993-08-30,10.644,10.644,10.644,10.644,562720
SPL,1993-08-31,9.619,9.619,9.619,9.619,646725
SPL,1993-09-02,10.502,10.502,10.502,10.502,396293
SPL,1993-09-06,11.489,11.489,11.489,11.489,890022
SPL,1993-09-07,10.323,10.323,10.323,10.323,837494
SPL,1993-09-09,9.897,9.897,9.897,9.897,388022
SPL,1993-09-13,9.791,9.791,9.791,9.791,226045
SPL,1993-09-14,9.897,9.897,9.897,9.897,247956
SPL,1993-09-16,10.217,10.217,10.217,10.217,406774
SPL,1993-09-20,9.1927,9.1927,9.1927,9.1927,310848
SPL,1993-09-21,8.2728,8.2728,8.2728,8.2728,256020
SPL,1993-09-23,7.4577,7.4577,7.4577,7.4577,311000
SPL,1993-09-27,6.8592,6.8592,6.8592,6.8592,496223
SPL,1993-09-28,7.5324,7.5324,7.5324,7.5324,
SPL,1993-09-30,8.2062,8.2062,8.2062,8.2062,336464
SPL,1993-10-04,8.9834,8.9834,8.9834,8.9834,761337
SPL,1993-10-05,9.4029,9.4029,9.4029,9.4029,726818
SPL,1993-10-07,9.4029,9.4029,9.4029,9.4029,775770
SPL,1993-10-11,9.972,9.972,9.972,9.972,739575
SPL,1993-10-12,10.57,10.57,10.57,10.57,656329
SPL,1993-10-14,10.57,10.57,10.57,10.57,558418
SPL,1993-10-18,11.421,11.421,11.421,11.421,1177816
SPL,1993-10-19,10.995,10.995,10.995,10.995,423119
SPL,1993-10-21,10.397,10.397,10.397,10.397,572037
SPL,1993-10-26,9.972,9.972,9.972,9.972,431752
SPL,1993-10-28,10.57,10.57,10.57,10.57,562481
SPL,1993-11-02,10.57,10.57,10.57,10.57,336267
SPL,1993-11-04,10.644,10.644,10.644,10.644,655878
SPL,1993-11-08,10.217,10.217,10.217,10.217,368634
SPL,1993-11-09,9.972,9.972,9.972,9.972,479743
SPL,1993-11-10,10.57,10.57,10.57,10.57,304102
SPL,1993-11-15,10.921,10.921,10.921,10.921,535809
SPL,1993-11-16,10.817,10.817,10.817,10.817,395142
SPL,1993-11-18,9.725,9.725,9.725,9.725,523375
SPL,1993-11-22,9.725,9.725,9.725,9.725,386482
SPL,1993-11-23,10.323,10.323,10.323,10.323,215831
SPL,1993-11-25,10.397,10.397,10.397,10.397,334058
SPL,1993-11-29,10.397,10.397,10.397,10.397,428193
SPL,1993-11-30,10.502,10.502,10.502,10.502,265817
SPL,1993-12-02,10.644,10.644,10.644,10.644,517591
SPL,1993-12-06,11.736,11.736,11.736,11.736,850626
SPL,1993-12-07,12.162,12.162,12.162,12.162,699017
SPL,1993-12-09,12.088,12.088,12.088,12.088,482336
SPL,1993-12-13,12.446,12.446,12.446,12.446,499823
SPL,1993-12-14,12.446,12.446,12.446,12.446,353770
SPL,1993-12-16,12.761,12.761,12.761,12.761,439552
SPL,1993-12-20,13.681,13.681,13.681,13.681,629930
SPL,1993-12-21,13.966,13.966,13.966,13.966,454715
SPL,1993-12-23,14.497,14.497,14.497,14.497,710304
SPL,1993-12-27,15.199,15.199,15.199,15.199,648035
SPL,1993-12-28,13.681,13.681,13.681,13.681,553952
SPL,1993-12-30,15.056,15.056,15.056,15.056,745210
SPL,1994-01-03,15.977,15.977,15.977,15.977,577393
SPL,1994-01-04,16.613,16.613,16.613,16.613,921837
SPL,1994-01-06,16.687,16.687,16.687,16.687,850669
SPL,1994-01-10,17.324,17.324,17.324,17.324,701618
SPL,1994-01-11,18.738,18.738,18.738,18.738,657869
SPL,1994-01-13,20.577,20.577,20.577,20.577,731572
