,Indeks,Name,Ticker
0,MWIG40,COMARCH,CMR
1,MWIG40,MERCATOR,MRC
2,MWIG40,DATAWALK,DAT
3,MWIG40,HANDLOWY,BHW
4,MWIG40,AMICA,AMC
5,MWIG40,ENERGA,ENG
6,MWIG40,MABION,MAB
7,MWIG40,KRUK,KRU
8,MWIG40,LIVECHAT,LVC
9,MWIG40,AMREST,EAT
10,MWIG40,BENEFIT,BFT
11,MWIG40,GTC,GTC
12,MWIG40,ECHO,ECH
13,MWIG40,MILLENNIUM,MIL
14,MWIG40,FAMUR,FMF
15,MWIG40,DEVELIA,DVL
16,MWIG40,PLAYWAY,PLW
17,MWIG40,GRUPAAZOTY,ATT
18,MWIG40,EUROCASH,EUR
19,MWIG40,NEUCA,NEU
20,MWIG40,KERNEL,KER
21,MWIG40,INTERCARS,CAR
22,MWIG40,BUDIMEX,BDX
23,MWIG40,ENEA,ENA
24,MWIG40,GPW,GPW
25,MWIG40,CIECH,CIE
26,MWIG40,BIOMEDLUB,BML
27,MWIG40,11BIT,11B
28,MWIG40,ASSECOPOL,ACP
29,MWIG40,BNPPPL,BNP
30,MWIG40,KETY,KTY
31,MWIG40,VRG,VRG
32,MWIG40,DOMDEV,DOM
33,MWIG40,TSGAMES,TEN
34,MWIG40,WIRTUALNA,WPL
35,MWIG40,INGBSK,ING
36,MWIG40,ASSECOSEE,ASE
37,MWIG40,CLNPHARMA,CLN
38,MWIG40,XTB,XTB
39,MWIG40,PKPCARGO,PKP
40,NCINDEX,UHYECA,ECA
41,NCINDEX,CREEPYJAR,CRJ
42,NCINDEX,FTIPROFIT,FTI
43,NCINDEX,HEMP,HMP
44,NCINDEX,GENOMED,GEN
45,NCINDEX,FOTOVOLT,FVE
46,NCINDEX,BIOMAXIMA,BMX
47,NCINDEX,EUROSNACK,ECK
48,NCINDEX,EONET,EON
49,NCINDEX,2INTELLECT,2IT
50,NCINDEX,MEDCAMP,MDP
51,NCINDEX,AQUATECH,AQT
52,NCINDEX,AFHOL,AFH
53,NCINDEX,FABRYKAKD,FKD
54,NCINDEX,QUARTICON,QO
55,NCINDEX,TELESTR,TLS
56,NCINDEX,PARTNER,PRN
57,NCINDEX,LETUS,LET
58,NCINDEX,DDISTANCE,DDI
59,NCINDEX,SONKA,SOK
60,NCINDEX,AKCEPTFIN,AFC
61,NCINDEX,TERMO2PWR,T2P
62,NCINDEX,AQUABB,AQU
63,NCINDEX,MOVIEGAMES,MOV
64,NCINDEX,ATCCARGO,ATA
65,NCINDEX,GREMPCO,GRM
66,NCINDEX,GENRG,GNG
67,NCINDEX,OVIDWORKS,OVI
68,NCINDEX,TELGAM,TLG
69,NCINDEX,ALUMAST,ALU
70,NCINDEX,PRYMUS,PRS
71,NCINDEX,DANKS,DNS
72,NCINDEX,FALCON,ESC
73,NCINDEX,PBGAMES,PBT
74,NCINDEX,GENXONE,GX1
75,NCINDEX,STANDREW,STD
76,NCINDEX,POINTPACK,PNT
77,NCINDEX,NFPL,NFP
78,NCINDEX,MERA,MER
79,NCINDEX,CCS,CCS
80,NCINDEX,ADATEX,ADX
81,NCINDEX,GRMEDIA,GME
82,NCINDEX,MPLVERBUM,VER
83,NCINDEX,PARCELTEC,PTE
84,NCINDEX,CIASTZKRA,CZK
85,NCINDEX,REDDEV,RDS
86,NCINDEX,READGENE,RDG
87,NCINDEX,JRHOLDING,JRH
88,NCINDEX,KLABATER,KBT
89,NCINDEX,STARWARD,STA
90,NCINDEX,FOREVEREN,FOR
91,NCINDEX,LGTRADE,LGT
92,NCINDEX,MEDINICE,ICE
93,NCINDEX,KORBANK,KOR
94,NCINDEX,MBFGROUP,MBF
95,NCINDEX,AZTEC,AZC
96,NCINDEX,ABSINVEST,AIN
97,NCINDEX,GRUPAREC,GRC
98,NCINDEX,BITEVIL,BIT
99,NCINDEX,BIOERG,BER
100,NCINDEX,MAKOLAB,MLB
101,NCINDEX,MALKOWSKI,MMA
102,NCINDEX,NGGAMES,NGG
103,NCINDEX,INNOGENE,IGN
104,NCINDEX,POLTRONIC,PTN
105,NCINDEX,MADKOM,MAD
106,NCINDEX,EMTASIA,EMA
107,NCINDEX,ECCGAMES,ECC
108,NCINDEX,LUG,LUG
109,NCINDEX,CASPAR,CSR
110,NCINDEX,BORUTA,BRU
111,NCINDEX,DEVORAN,DEV
112,NCINDEX,MODE,MOE
113,NCINDEX,COPERNIC,CRS
114,NCINDEX,REMORSOL,RSP
115,NCINDEX,POLMAN,PLM
116,NCINDEX,EFENERGII,EFE
117,NCINDEX,MENNICASK,MNS
118,NCINDEX,NWAI,NWA
119,NCINDEX,IMAGIS,IMG
120,NCINDEX,DBENERGY,DBE
121,NCINDEX,APS,APS
122,NCINDEX,NOVAVIS,NVV
123,NCINDEX,H4F,H4F
124,NCINDEX,EKOPARK,EPR
125,NCINDEX,IGORIA,IGT
126,NCINDEX,GOLAB,GOL
127,NCINDEX,CFSA,CFS
128,NCINDEX,JWA,JWA
129,NCINDEX,PYRAMID,PDG
130,NCINDEX,SOFTBLUE,SBE
131,NCINDEX,ONEMORE,OML
132,NCINDEX,FIGENE,FIG
133,NCINDEX,4MASS,4MS
134,NCINDEX,PHOTON,PEN
135,NCINDEX,BLOOBER,BLO
136,NCINDEX,JUJUBEE,JJB
137,NCINDEX,KBJ,KBJ
138,NCINDEX,BETOMAX,BTX
139,NCINDEX,PLANTWEAR,PNW
140,NCINDEX,BIOMASS,BEP
141,NCINDEX,EKOBOX,EBX
142,NCINDEX,EMUZYKA,EMU
143,NCINDEX,BLACKPOIN,BPN
144,NCINDEX,ACREBIT,ACR
145,NCINDEX,MEDAPP,MDA
146,NCINDEX,KANCELWEC,KPI
147,NCINDEX,CLOUD,CLD
148,NCINDEX,BRAND24,B24
149,NCINDEX,PASSUS,PAS
150,NCINDEX,POLYSLASH,PSH
151,NCINDEX,OXYGEN,PMF
152,NCINDEX,KLON,KLN
153,NCINDEX,COMECO,CMC
154,NCINDEX,POLARISIT,PIT
155,NCINDEX,INVENTION,AVC
156,NCINDEX,BLKCHNLAB,BTC
157,NCINDEX,SFD,SFD
158,NCINDEX,ACKERMAN,ACK
159,NCINDEX,01CYBATON,01C
160,NCINDEX,HURTIMEX,HRT
161,NCINDEX,BBINWEST,BBA
162,NCINDEX,MILKPOL,MLP
163,NCINDEX,BIZTECH,BTK
164,NCINDEX,CANNABIS,CBD
165,NCINDEX,KUPIEC,KPC
166,NCINDEX,SIMFABRIC,SIM
167,NCINDEX,AITON,AIT
168,NCINDEX,SUNTECH,SUN
169,NCINDEX,MEDIANPOL,MDN
170,NCINDEX,INTERNITY,INT
171,NCINDEX,BIOPLANET,BIP
172,NCINDEX,DEKTRA,DKR
173,NCINDEX,ARTP,TYP
174,NCINDEX,PURE,PUR
175,NCINDEX,BPX,BPX
176,NCINDEX,COLUMBUS,CLC
177,NCINDEX,CARPATHIA,CRC
178,NCINDEX,PROLOG,PRL
179,NCINDEX,VERBICOM,VRB
180,NCINDEX,ISIAG,ISG
181,NCINDEX,SHOCKWORK,SWK
182,NCINDEX,NOTORIA,NTS
183,NCINDEX,STEMCELLS,SCS
184,NCINDEX,TLTENNIS,TLT
185,NCINDEX,SCPFL,SCP
186,NCINDEX,BPC,BPC
187,NCINDEX,INTELIWIS,ITL
188,NCINDEX,CMI,CMI
189,NCINDEX,NEPTIS,YAN
190,NCINDEX,WODKAN,WOD
191,NCINDEX,UNITED,UTD
192,NCINDEX,WIERZYCL,WRL
193,NCINDEX,INBOOK,INB
194,NCINDEX,ARTGAMES,ARG
195,NCINDEX,MOONLIT,MLT
196,NCINDEX,SWALLET,SWT
197,NCINDEX,QUBICGMS,QUB
198,NCINDEX,EC2,EC2
199,NCINDEX,PRESENT24,P24
200,NCINDEX,PLATIGE,PLI
201,NCINDEX,TECHINVGR,TIG
202,NCINDEX,MFOOD,MFD
203,NCINDEX,FARM51,F51
204,NCINDEX,AGROLIGA,AGL
205,NCINDEX,MAXIPIZZA,MXP
206,NCINDEX,DOOK,DOK
207,NCINDEX,TELIANI,TLV
208,NCINDEX,ASTRO,ASR
209,NCINDEX,BVT,BVT
210,NCINDEX,GEOTRANS,GTS
211,NCINDEX,EKOPOL,EGH
212,NCINDEX,VARSAV,VAR
213,NCINDEX,FINVENTUR,FIV
214,NCINDEX,BERGHOLDI,BRH
215,NCINDEX,7FIT,TRC
216,NCINDEX,EXAMOBILE,EXA
217,NCINDEX,CARLSON,CAI
218,NCINDEX,GALVO,GAL
219,NCINDEX,ADVERTIGO,AVE
220,NCINDEX,SFERANET,SFN
221,NCINDEX,BLUMERANG,BLU
222,NCINDEX,HORTICO,HOR
223,NCINDEX,THEDUST,THD
224,NCINDEX,PYLON,PYL
225,NCINDEX,DIGITAL,DGL
226,NCINDEX,INVESTEKO,IVE
227,NCINDEX,FHDOM,FHD
228,NCINDEX,CARBONSTU,CRB
229,NCINDEX,AUXILIA,AUX
230,NCINDEX,DRAGEUS,DRG
231,NCINDEX,ANALIZY,AOL
232,NCINDEX,HORNIGOLD,HRL
233,NCINDEX,EKIOSK,EKS
234,NCINDEX,CHERRY,CHP
235,NCINDEX,SEVENET,SEV
236,NCINDEX,TELEMEDPL,TMP
237,NCINDEX,ROBINSON,RBS
238,NCINDEX,CORELENS,COR
239,NCINDEX,PTWP,PTW
240,NCINDEX,PLANETB2B,P2B
241,NCINDEX,AALLIANCE,AAS
242,NCINDEX,CFG,CFG
243,NCINDEX,CENTURION,CTF
244,NCINDEX,BRAS,BSA
245,NCINDEX,INFOSCAN,IST
246,SWIG80,BOOMBIT,BBT
247,SWIG80,VIGOSYS,VGO
248,SWIG80,SNIEZKA,SKA
249,SWIG80,ZEPAK,ZEP
250,SWIG80,AMBRA,AMB
251,SWIG80,WORKSERV,WSE
252,SWIG80,LENTEX,LTX
253,SWIG80,SELVITA,SLV
254,SWIG80,ATMGRUPA,ATG
255,SWIG80,BOS,BOS
256,SWIG80,TRAKCJA,TRK
257,SWIG80,ACAUTOGAZ,ACG
258,SWIG80,UNIMOT,UNT
259,SWIG80,AUTOPARTN,APR
260,SWIG80,ASBIS,ASB
261,SWIG80,WIELTON,WLT
262,SWIG80,AGORA,AGO
263,SWIG80,INTERAOLT,IRL
264,SWIG80,ARCTIC,ATC
265,SWIG80,DEBICA,DBC
266,SWIG80,AIRWAY,AWM
267,SWIG80,INSTALKRK,INK
268,SWIG80,CPGROUP,CPG
269,SWIG80,LUBAWA,LBW
270,SWIG80,RYVU,RVU
271,SWIG80,FORTE,FTE
272,SWIG80,NEWAG,NWG
273,SWIG80,MCI,MCI
274,SWIG80,MLSYSTEM,MLS
275,SWIG80,STALPROD,STP
276,SWIG80,EKOEXPORT,EEX
277,SWIG80,NETIA,NET
278,SWIG80,GLCOSMED,GLC
279,SWIG80,INC,INC
280,SWIG80,ARCHICOM,ARH
281,SWIG80,MENNICA,MNC
282,SWIG80,ABPL,ABE
283,SWIG80,VOXEL,VOX
284,SWIG80,ENTER,ENT
285,SWIG80,PCCROKITA,PCR
286,SWIG80,POLIMEXMS,PXM
287,SWIG80,OAT,OAT
288,SWIG80,ATAL,1AT
289,SWIG80,GETINOBLE,GNB
